"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7092","@Functional Manufacturer page can’t be found","chromium","Tue Apr 22 16:23:25 GMT 2025","passed","Tue Apr 22 16:23:32 GMT 2025","Find bugs","findBugs.spec.js","",""
"","2440","@Crash Post comment","chromium","Tue Apr 22 16:23:43 GMT 2025","passed","Tue Apr 22 16:23:45 GMT 2025","Find bugs","findBugs.spec.js","",""
"","4600","@Content Description should translate it to English language","chromium","Tue Apr 22 16:23:32 GMT 2025","passed","Tue Apr 22 16:23:37 GMT 2025","Find bugs","findBugs.spec.js","",""
"","1899","@Crash View quantity by 50","chromium","Tue Apr 22 16:23:38 GMT 2025","passed","Tue Apr 22 16:23:40 GMT 2025","Find bugs","findBugs.spec.js","",""
"","3652","@UI Size productImage for product Dark Grey Jeans","chromium","Tue Apr 22 16:23:21 GMT 2025","passed","Tue Apr 22 16:23:25 GMT 2025","Find bugs","findBugs.spec.js","",""
"","1454","@Crash View quantity by 10","chromium","Tue Apr 22 16:23:37 GMT 2025","passed","Tue Apr 22 16:23:38 GMT 2025","Find bugs","findBugs.spec.js","",""
"","2359","@Crash Select currency","chromium","Tue Apr 22 16:23:40 GMT 2025","passed","Tue Apr 22 16:23:43 GMT 2025","Find bugs","findBugs.spec.js","",""
