"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3379","@Crash Post comment","chromium","Sat Apr 26 12:18:40 GMT 2025","passed","Sat Apr 26 12:18:44 GMT 2025","Find bugs","findBugs.spec.js","",""
"","2013","@Crash View quantity by 10","chromium","Sat Apr 26 12:18:34 GMT 2025","passed","Sat Apr 26 12:18:36 GMT 2025","Find bugs","findBugs.spec.js","",""
"","5915","@Functional Manufacturer page can’t be found","chromium","Sat Apr 26 12:18:23 GMT 2025","passed","Sat Apr 26 12:18:28 GMT 2025","Find bugs","findBugs.spec.js","",""
"","3696","@UI Size productImage for product Dark Grey Jeans","chromium","Sat Apr 26 12:18:17 GMT 2025","passed","Sat Apr 26 12:18:21 GMT 2025","Find bugs","findBugs.spec.js","",""
"","2568","@Crash Select currency","chromium","Sat Apr 26 12:18:38 GMT 2025","passed","Sat Apr 26 12:18:40 GMT 2025","Find bugs","findBugs.spec.js","",""
"","1929","@Crash View quantity by 50","chromium","Sat Apr 26 12:18:36 GMT 2025","passed","Sat Apr 26 12:18:38 GMT 2025","Find bugs","findBugs.spec.js","",""
"","5529","@Content Description should translate it to English language","chromium","Sat Apr 26 12:18:28 GMT 2025","passed","Sat Apr 26 12:18:34 GMT 2025","Find bugs","findBugs.spec.js","",""
