"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2000","@Crash Select currency","chromium","Sat Apr 26 19:26:19 GMT 2025","passed","Sat Apr 26 19:26:21 GMT 2025","Find bugs","findBugs.spec.js","",""
"","3873","@Content Description should translate it to English language","chromium","Sat Apr 26 19:26:13 GMT 2025","passed","Sat Apr 26 19:26:17 GMT 2025","Find bugs","findBugs.spec.js","",""
"","3520","@Crash Post comment","chromium","Sat Apr 26 19:26:21 GMT 2025","passed","Sat Apr 26 19:26:25 GMT 2025","Find bugs","findBugs.spec.js","",""
"","3501","@UI Size productImage for product Dark Grey Jeans","chromium","Sat Apr 26 19:26:04 GMT 2025","passed","Sat Apr 26 19:26:07 GMT 2025","Find bugs","findBugs.spec.js","",""
"","5465","@Functional Manufacturer page can’t be found","chromium","Sat Apr 26 19:26:07 GMT 2025","passed","Sat Apr 26 19:26:13 GMT 2025","Find bugs","findBugs.spec.js","",""
"","1155","@Crash View quantity by 10","chromium","Sat Apr 26 19:26:17 GMT 2025","passed","Sat Apr 26 19:26:18 GMT 2025","Find bugs","findBugs.spec.js","",""
"","1294","@Crash View quantity by 50","chromium","Sat Apr 26 19:26:18 GMT 2025","passed","Sat Apr 26 19:26:19 GMT 2025","Find bugs","findBugs.spec.js","",""
