"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60021","@Crash Select currency","chromium","Mon May 12 17:14:29 GMT 2025","broken","Mon May 12 17:15:29 GMT 2025","Find bugs","findBugs.spec.js","",""
"","60022","@Crash View quantity by 10","chromium","Mon May 12 17:08:23 GMT 2025","broken","Mon May 12 17:09:23 GMT 2025","Find bugs","findBugs.spec.js","",""
"","60020","@Functional Manufacturer page can’t be found","chromium","Mon May 12 17:02:18 GMT 2025","broken","Mon May 12 17:03:18 GMT 2025","Find bugs","findBugs.spec.js","",""
"","60023","@UI Size productImage for product Dark Grey Jeans","chromium","Mon May 12 16:59:15 GMT 2025","broken","Mon May 12 17:00:15 GMT 2025","Find bugs","findBugs.spec.js","",""
"","60020","@Crash Post comment","chromium","Mon May 12 17:17:32 GMT 2025","broken","Mon May 12 17:18:32 GMT 2025","Find bugs","findBugs.spec.js","",""
"","60021","@Content Description should translate it to English language","chromium","Mon May 12 17:05:21 GMT 2025","broken","Mon May 12 17:06:21 GMT 2025","Find bugs","findBugs.spec.js","",""
"","60020","@Crash View quantity by 50","chromium","Mon May 12 17:11:26 GMT 2025","broken","Mon May 12 17:12:26 GMT 2025","Find bugs","findBugs.spec.js","",""
